timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,LLC-loads,LLC-load-misses,LLC-stores,DISPATCHED_FPU_OPS,L2_CACHE_MISS,MEMORY_REQUESTS,REQUESTS_TO_L2,RETIRED_MMX_FP_INSTRUCTIONS_X87,RETIRED_MMX_FP_INSTRUCTIONS_MMX,RETIRED_MMX_FP_INSTRUCTIONS_SSE,RETIRED_SSE_OPS,RETIRED_UOPS,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422490678,192,17384,313001835,3610195656,3,35105526,7668658,326670549,39891887,587796639,26842843,17613983,74014189,40302677,79676733,2094558,8281192,28180730,50509983,23948,26583,4126041,1149404,996693312,0,0,0,0,0.7,1,0,0,3.2,0,27.4,0,0,0,0,0,4,0,2,0,8176,1160.3,1650.407,74.6,0,6,0,2,280888,9576528,22482380,0,0,4,195312496,0,0,2763.47,13828.34,0,0,0,0,18.96,91.82,96,0,0,0,2.44,1.56,0,9626
1422490680,192,17026,338830057,4641753524,3,69377912,10911598,207377310,20976426,319697406,28483546,32034189,100129562,45434815,96407092,1954088,5274249,28654158,42149320,20292,38073,5202515,1651310,1914366127,0,0,0,0,0,0,0,0,0,0,25.6,0,0.9,0,0,0,2,0,1,0,44966,1160.3,1650.407,74.6,0,16,0,5,280888,9576528,22483456,0,0,22,195312496,0,0,679.64,11980.04,0,0,0,0,4.49,79.84,98.26,0,0,0,0.88,0.7,0.16,9351
1422490682,191,17161,264932509,3153750466,4,66618251,14455120,306891512,42569084,446935963,29474070,21001079,52060246,33131974,60645266,2472310,8402738,26702710,40335381,24890,42167,7538778,1843389,1265291496,0,0,0,0,0,2.8,0,0,0,0,25.2,0,0,0.7,0,0,3,0,2,0,8176,1160.3,1650.407,74.6,0,6,0,2,280888,9576532,22483852,0,0,4,195312496,0,0,647.7,12506.99,0,0,0,0,10.98,87.82,97.4,0,0,0,1.4,1.2,0,9408
1422490684,192,17141,259183560,3201640047,3,57071198,18600839,606732429,65336502,766091533,29431947,17056871,66478866,30991992,72351777,2130836,7321352,28629258,42441194,20655,34430,3912064,1962159,1267177153,0,1,0,0,0,0,0,0,0,0,20.7,0,1,0,0,0,3,0,2,0,44921,1160.3,1650.407,74.6,0,12,0,6,280888,9576532,22484088,0,0,22,195312496,0,0,1177.47,12851.45,0,0,0,0,14.96,90.73,98.39,0,0,0,0.85,0.66,0.1,9443
1422490686,192,17289,403037004,4657019359,64,46729307,14197181,234847083,28597240,400483420,28589923,15349955,58181025,31317504,69728245,2721614,8449291,21950907,43329194,17071,40238,7518506,1318767,1036628812,0,0,0,0,0,0,0,0,18.7,0,0,0,0,0,0,0,1,0,1,0,8176,1160.3,1650.407,74.6,0,10,0,2,280888,9576528,22485092,0,0,4,195312496,0,0,235.53,12049.9,0,0,0,0,3.99,80.84,97.9,0,0,0,1.38,0.71,0,9511
1422490688,191,17708,278245885,4046737472,162,46134816,7805965,284609308,23581284,622852875,25553444,13440225,62770493,26109227,90294503,4138722,10599588,25115221,82156469,24239,48505,6146611,2386444,2218388817,0,2.9,0,0,0,0.6,0,0,3.9,2.7,0,0,32,2.2,0.8,0.6,2,3,2,0,8176,1160.3,1650.407,74.6,0,4,0,2,280888,9576532,22478208,0,0,4,195312496,0,0,58.88,11844.31,0,0,0,0,1,77.84,98.55,0,0,0,0.89,0.57,0,9897
1422490690,191,16559,272231439,5697310452,4,93061666,14248822,290702971,30495906,525413650,31920782,27603669,90988551,41276172,91633712,3830847,10608411,22776303,98833819,12368,12417,1336888,359457,528138383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,1,0,4263601,1160.3,1650.407,74.6,0,27.32,0,47,280896,9576528,22479376,0,0,2082,195312496,0,0,20833.33,39898.2,0,0,0,0,131.24,220.56,97.02,0,0,0,1.56,1.27,0.16,9633
1422490692,191,15835,249406673,3808286085,5,37864169,7890486,167482888,25965484,404435941,15437674,17297302,85367320,39718761,87045408,2391448,8548464,26001099,56392332,29646,51417,5420725,1882901,1013547803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,0,1,0,1,0,8055,1160.3,1650.407,74.6,0,8,0,2,280896,9576528,22478864,0,0,4,195312496,0,0,2386.43,13612.59,0,0,0,0,20.65,94.4,96.52,0,0,0,2.04,1.4,0.04,8882
1422490694,191,16048,497509770,4112077484,5,56901875,12633455,247039063,29257693,467457325,24049349,14658772,45939987,24275068,76777966,2057843,6557382,26907717,34715687,13889,22967,2847934,1314828,1248698919,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18.5,0,2,0,1,0,62249,1160.3,1650.407,74.6,0,14.67,0,6,280900,9576524,22480036,0,0,30,195312496,0,0,2363.73,13910.84,0,0,0,0,19.25,94.22,97.16,0,0,0,1.68,0.99,0.17,8948
1422490696,191,15791,578817253,6749383296,4,93678049,16265372,273325108,24869789,300615536,14928658,7402371,27563352,38618434,108773189,1913134,7335083,27145500,32777929,20363,34326,5713934,1851899,946197685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8,0,2,0,2,0,24527,1160.3,1650.407,74.6,0,11.2,0,5,280908,9576528,22481256,0,0,12,195312496,0,0,3966.07,14828.34,0,0,0,0,25.95,96.81,98.35,0,0,0,0.99,0.56,0.1,8843
1422490698,185,15799,734987265,5101917601,5,114252434,22129517,265989597,38506214,381355282,25600847,6434158,23069479,11346028,59962009,2038574,5548851,25989451,38480805,18445,20171,2777633,639979,1208885893,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,23.1,0,2,0,1,0,8176,1160.3,1650.407,74.6,0,4,0,2,280908,9576532,22481692,0,0,4,195312496,0,0,1983.03,13303.39,0,0,0,0,12.97,86.83,96.72,0,0,0,2.03,1.25,0,8855
1422490700,191,15514,273936053,3374632076,4,56557575,15725661,359225212,35548171,390978526,12999811,10330421,22021251,12632397,36831267,1416709,8466049,26372561,58347474,26555,46071,6152207,2163995,3423085090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,0,1,0,1,0,44810,1160.3,1650.407,74.6,0,12.8,0,5,280912,9576528,22481452,0,0,22,195312496,0,0,669.32,12188.96,0,0,0,0,8.45,81.55,98.28,0,0,0,0.98,0.63,0.11,8603
1422490702,191,16119,241296332,2796959075,4,44960487,9185217,289101278,36005716,577682164,29649157,25546407,72846892,33279997,92697549,1473395,6050626,23114697,42667828,23789,41307,3979733,1058105,1074710878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4,0,1,0,1,0,8204,1160.3,1650.407,74.6,0,8,0,2,280912,9576528,22482824,0,0,4,195312496,0,0,17933.9,25524.29,0,0,0,0,65.1,133.2,96.53,0,0,0,2.2,1.24,0.03,9089
