timestamp,powerWatts,contexts,instructions,cpu-cycles,cpu-migrations,branches,branch-misses,L1-icache-loads,L1-icache-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,LLC-loads,LLC-load-misses,LLC-stores,DISPATCHED_FPU_OPS,L2_CACHE_MISS,MEMORY_REQUESTS,REQUESTS_TO_L2,RETIRED_MMX_FP_INSTRUCTIONS_MMX,RETIRED_MMX_FP_INSTRUCTIONS_SSE,RETIRED_MMX_FP_INSTRUCTIONS_X87,RETIRED_SSE_OPS,RETIRED_UOPS,Core_0,Core_1,Core_2,Core_3,Core_4,Core_5,Core_6,Core_7,Core_8,Core_9,Core_10,Core_11,Core_12,Core_13,Core_14,Core_15,Core_16,Core_17,Core_18,Core_19,Core_20,Core_21,Core_22,Core_23,Core_1CPU,Core_2CPU,numSockets,bytes_read,bytes_written,disk_free,disk_total,part_max_used,read_time,write_time,reads,writes,mem_buffers,mem_cached,mem_free,mem_shared,page_in,page_out,swap_free,swap_in,swap_out,bytes_in,bytes_out,drops_in,drops_out,errs_in,errs_out,pkts_in,pkts_out,cpu_idle,cpu_intr,cpu_nice,cpu_sintr,cpu_system,cpu_user,cpu_wio,interrupts
1422369882,100.5,375,7811780,114823476.25,25.375,2584512.25,120371.875,8242929.25,1440970,46996021.625,1126678.25,1032524.125,1380382.625,567805.875,1081257.25,492354.25,1330707.75,863586.375,20386868.625,57.25,202185.875,668.125,4026.875,331282722.75,1.5,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,1.75,0,0,0,1.5,0,3,2,2,0,35751,1818.805,1859.505,49.22,0,26.27,0,8.75,250272,1502642,30520870,0,0,17.5,1951740,0,0,71.8175,8100.0025,0,0,0,0,1.125,53.495,99.825,0,0,0,0.1275,0.035,0.005,1211.75
1422369884,94,379,6034738,100218095,25,1882601,79529,7505395,702973,20740227,1026862,1160476,2063757,923409,1183649,581824,1354369,422623,84320756,76,494410,493,6769,167157772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,1,2,0,8172,1818.805,1859.505,49.22,0,18,0,2,250272,1502640,30522308,0,0,4,1951740,0,0,665.84,8561.6,0,0,0,0,2.49,55.36,99.79,0,0,0,0.12,0.08,0,1312
1422369886,95,395,15448410.25,121464429,23,4330914,119264.75,9941226,859270,31119749,783047,577641.25,1169758.75,428790.25,901238,208471,1290138.25,1407750,41707606.25,336,345783,3776.25,6166,388437350,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,1,0,4,1,2,0,22472,1818.805,1859.505,49.22,0,19.5,0,3,250272,1502638,30521388,0,0,11,1951740,0,0,767.085,8992.27,0,0,0,0,6.98,59.85,99.76,0,0,0,0.125,0.07,0.04,1349
1422369888,94.5,420.5,16783777,122953587,22,4492232,136984,11736867,1092422,25828255,1039129,620988,1388607,535743,898616,349739.25,877515,1223348,21696657,454,169531.25,2360,4219,311673065,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,2.5,0,0,0,0.5,0,3,2,2,0,8172,1818.805,1859.505,49.22,0,22,0,2,250272,1502640,30521454,0,0,4,1951740,0,0,670.075,8810.475,0,0,0,0,6.235,58.855,99.8,0,0,0,0.135,0.05,0.01,1421
1422369890,93.5,455,11770491.25,114681129,23.25,3500774.25,119056,10155953.25,900955,29593520.25,1041318,748265.75,1281999.25,476851,1388853,325503,1495113.25,551572,36305317.25,250.75,303826,2660.75,10724.25,190529097,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,2.5,0,0,0.5,0,0,4,2,2,0,23883,1818.805,1859.505,49.22,0,15.4,0,3.5,250272,1502638,30522060,0,0,11.5,1951740,0,0,526.095,8484.475,0,0,0,0,5.405,56.48,99.77,0,0,0,0.12,0.05,0.05,1485.5
1422369892,93.5,439.5,6731931.75,117975764,24,2922787,101022,7364376.75,444410.25,21944830,870295,1135709,2040303,802465.75,1220403,209665,2530405.75,771548,47735854.75,108,397638.75,2015,11136,188738093.75,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,2,2,2,0,32820.5,1818.805,1859.505,49.22,0,14.065,0,5.5,250272,1502636,30521958,0,0,16,1951740,0,0,1042.555,9000.935,0,0,0,0,6.65,57.725,99.75,0,0,0,0.145,0.05,0.05,1466.5
1422369894,94,431,5410700.25,107601914.75,24,2911551,96159.25,7858190.25,1309798.75,49898787.25,1985866.75,2289501.75,2524846,875861,577386,260882.75,2804954,1426929.25,55670656,124.75,355724.75,5324,4182.75,353782552,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,2,0,0,0,0,0,4,1,2,0,17246,1818.805,1859.505,49.22,0,18.665,0,4,250272,1502636,30521690,0,0,8.5,1951740,0,0,781.06,8950.18,0,0,0,0,5.28,58.525,99.79,0,0,0,0.145,0.04,0.02,1473
1422369896,94,443,3921363.25,91847440.25,24.25,2081527.25,81641.25,8239766,1562280.75,71319522.75,2191298,2153760,1965534,594187.75,475126.75,374754.25,1793523.25,1448004.75,61715921.25,121,304434,5326,473,410848612.75,0,0,0,0,1,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,2,0,0,0,0.5,0,4,1,2,0,30780,1818.805,1859.505,49.22,0,19.4,0,3.5,250272,1502636,30522056,0,0,15,1951740,0,0,341.91,8898.06,0,0,0,0,5.03,59.025,99.77,0,0,0,0.12,0.04,0.06,1490
1422369898,93.5,429.5,7557763.25,98185914,25.25,2081992.75,73169.75,6777357,498438.75,31570083,837641.75,996806.75,1593510.25,605495,482103,535220,1092535,976309.75,39277125.25,154.25,123150,1446.75,3145,289274017.75,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,1,0,3,1,2,0,30643.5,1818.805,1859.505,49.22,0,17.4,0,3.5,250272,1502638,30522122,0,0,15,1951740,0,0,622.195,8771.07,0,0,0,0,5.485,58.105,99.78,0,0,0,0.135,0.03,0.05,1467
1422369900,93.5,411.5,8228762.25,101344184.25,26,3095810,102301.75,7542938.25,292538,9081854.25,425850.25,625162,1295574.75,504768,1111565,534939.75,1555250,817166.75,41335154.75,1123.75,96268.75,9193,10933,272735714.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.5,0,2,0,1,0,8167.5,1818.805,1859.505,49.22,0,17,0,2,250272,1502640,30521622,0,0,4,1951740,0,0,418.15,8143.11,0,0,0,0,2.49,53.84,99.81,0,0,0,0.135,0.04,0.01,1433
